zip,lat,lng
75001,32.96,-96.83847
75002,33.08966,-96.60751
75006,32.96188,-96.89701
75007,33.00462,-96.89714
75009,33.34028,-96.75033
75010,33.03424,-96.89672
75013,33.11467,-96.69411
75019,32.96329,-96.98553
75020,33.77167,-96.60413
75021,33.72616,-96.47326
75022,33.02772,-97.12023
75023,33.05706,-96.73242
75024,33.07735,-96.80704
75025,33.09095,-96.74128
75028,33.0328,-97.06086
75032,32.85504,-96.42764
75034,33.15196,-96.86035
75035,33.15534,-96.7727
75038,32.87458,-96.99758
75039,32.88752,-96.94225
75040,32.92766,-96.62008
75041,32.88091,-96.65147
75042,32.9139,-96.67493
75043,32.85707,-96.57941
75044,32.96264,-96.65323
75048,32.97201,-96.58087
75050,32.77409,-97.00533
75051,32.72757,-96.99439
75052,32.66591,-97.02648
75054,32.59062,-97.04051
75056,33.07395,-96.91483
75057,33.04952,-96.98383
75058,33.45011,-96.74225
75060,32.79601,-96.95446
75061,32.82602,-96.96544
75062,32.84699,-96.95696
75063,32.92047,-96.986
75065,33.11093,-97.0119
75067,33.01371,-97.00024
75068,33.17647,-96.95054
75069,33.16547,-96.59469
75070,33.17311,-96.69773
75071,33.24664,-96.62898
75074,33.0319,-96.67429
75075,33.02137,-96.74102
75076,33.79472,-96.72168
75077,33.07885,-97.06273
75078,33.24671,-96.80855
75080,32.97395,-96.74203
75081,32.94882,-96.7102
75082,32.99159,-96.66233
75087,32.94172,-96.44993
75088,32.89229,-96.54917
75089,32.92975,-96.54975
75090,33.60451,-96.54562
75092,33.64891,-96.70004
75093,33.0355,-96.81001
75094,33.01909,-96.61508
75098,33.01189,-96.53479
75101,32.27004,-96.70244
75102,32.06629,-96.64223
75103,32.51192,-95.88237
75104,32.58039,-96.96618
75105,32.26654,-96.37522
75109,32.04523,-96.35405
75110,32.08693,-96.52879
75114,32.61016,-96.44553
75115,32.59884,-96.86375
75116,32.66017,-96.91393
75117,32.71183,-95.85077
75119,32.32976,-96.59334
75124,32.32674,-95.97242
75125,32.53138,-96.62477
75126,32.74204,-96.45185
75127,32.69118,-95.79338
75132,32.94537,-96.37375
75134,32.6201,-96.783
75135,33.06522,-96.22289
75137,32.634,-96.91176
75140,32.64689,-95.69144
75141,32.63998,-96.69464
75142,32.57358,-96.24717
75143,32.36358,-96.24817
75144,32.11312,-96.20884
75146,32.57462,-96.75069
75147,32.433,-96.07743
75148,32.12462,-96.01216
75149,32.77003,-96.61487
75150,32.81577,-96.63039
75152,32.43646,-96.68038
75153,32.15027,-96.32857
75154,32.52278,-96.8101
75155,32.22573,-96.47318
75156,32.28689,-96.0998
75157,32.46225,-96.44688
75158,32.46222,-96.39662
75159,32.60745,-96.54088
75160,32.76168,-96.30018
75161,32.73742,-96.17116
75163,32.16759,-96.11031
75164,33.06593,-96.30793
75165,32.36912,-96.79744
75166,33.01234,-96.45026
75167,32.35887,-96.91516
75169,32.70454,-95.99657
75172,32.60482,-96.67516
75173,33.05923,-96.39106
75180,32.71894,-96.61839
75181,32.72694,-96.55517
75182,32.80014,-96.55405
75189,32.95188,-96.3119
75201,32.7878,-96.79948
75202,32.77924,-96.80472
75203,32.74625,-96.80301
75204,32.80205,-96.78882
75205,32.83656,-96.79623
75206,32.83156,-96.77028
75207,32.78676,-96.82139
75208,32.75373,-96.83986
75209,32.84885,-96.82587
75210,32.77135,-96.74596
75211,32.73491,-96.903
75212,32.78137,-96.87917
75214,32.82867,-96.74542
75215,32.75075,-96.75806
75216,32.71162,-96.78369
75217,32.71215,-96.68116
75218,32.84154,-96.70236
75219,32.81179,-96.81294
75220,32.86664,-96.87615
75223,32.79223,-96.74399
75224,32.71104,-96.83991
75225,32.8652,-96.79097
75226,32.78278,-96.77641
75227,32.77001,-96.68728
75228,32.82444,-96.67995
75229,32.89374,-96.86439
75230,32.90237,-96.79205
75231,32.87767,-96.74979
75232,32.66094,-96.84019
75233,32.70435,-96.87297
75234,32.92366,-96.89042
75235,32.83251,-96.84851
75236,32.68557,-96.93576
75237,32.66562,-96.87309
75238,32.87853,-96.70782
75240,32.93181,-96.78852
75241,32.66571,-96.75906
75243,32.91211,-96.73563
75244,32.92541,-96.83663
75246,32.79292,-96.7733
75247,32.81358,-96.87749
75248,32.96958,-96.79524
75249,32.64442,-96.9588
75251,32.91901,-96.77193
75252,32.99728,-96.79091
75253,32.67499,-96.61287
75254,32.94562,-96.80137
75270,32.78119,-96.80224
75287,33.00032,-96.84111
75390,32.81415,-96.84082
75401,33.18426,-96.11951
75402,33.06878,-96.08534
75407,33.15089,-96.48796
75409,33.35197,-96.52735
75410,32.79101,-95.63456
75411,33.86196,-95.64855
75412,33.79984,-95.15232
75413,33.44141,-96.17913
75414,33.62333,-96.43179
75415,33.45984,-95.75129
75416,33.67825,-95.35442
75417,33.43887,-95.13134
75418,33.57268,-96.17766
75420,33.05301,-95.72612
75421,33.64663,-95.71719
75422,33.13937,-95.93198
75423,33.28614,-96.19999
75424,33.30659,-96.38587
75426,33.65539,-95.00488
75428,33.26847,-95.91606
75431,33.01166,-95.46369
75432,33.39603,-95.67444
75433,33.10765,-95.80425
75435,33.48223,-95.31355
75436,33.71282,-95.25156
75437,33.25841,-95.469
75438,33.60829,-96.06541
75439,33.55208,-96.27709
75440,32.87828,-95.75557
75441,33.43231,-95.65334
75442,33.17365,-96.35309
75446,33.61208,-95.89414
75447,33.76513,-96.1177
75448,33.31494,-95.7933
75449,33.42067,-95.94604
75450,33.4051,-95.47847
75451,32.96633,-95.12119
75452,33.39324,-96.24331
75453,32.99671,-95.93275
75454,33.28335,-96.56323
75455,33.21697,-94.97819
75457,33.17279,-95.21222
75459,33.53109,-96.67755
75460,33.65811,-95.60422
75462,33.62385,-95.48378
75468,33.51316,-95.40653
75469,33.42161,-95.8146
75470,33.58231,-95.80822
75471,33.03945,-95.38927
75472,32.88593,-95.87796
75473,33.81433,-95.48986
75474,32.91953,-96.10899
75475,33.47484,-96.23822
75476,33.70586,-96.24354
75477,33.53286,-95.73471
75478,33.17445,-95.35751
75479,33.62166,-96.33921
75480,33.02472,-95.19411
75481,33.31522,-95.37374
75482,33.16816,-95.60681
75486,33.75828,-95.7486
75487,33.33605,-95.16159
75488,33.77722,-95.98748
75489,33.51927,-96.48435
75490,33.43427,-96.31339
75491,33.49638,-96.39751
75492,33.58768,-95.9955
75493,33.13883,-95.10854
75494,32.90938,-95.26235
75495,33.43311,-96.55161
75496,33.35984,-96.06298
75497,32.92201,-95.57201
75501,33.37363,-94.13142
75503,33.51343,-94.13057
75550,33.49406,-94.88241
75551,33.11556,-94.20197
75554,33.5549,-94.7795
75555,32.94688,-94.13831
75556,33.16112,-94.06127
75558,33.2419,-94.85805
75559,33.50992,-94.62748
75560,33.18696,-94.36878
75561,33.51333,-94.27783
75562,32.92543,-94.24848
75563,33.00609,-94.38963
75565,32.93731,-94.07212
75566,33.14819,-94.49175
75567,33.31404,-94.31879
75568,33.20102,-94.59619
75569,33.44147,-94.12646
75570,33.46196,-94.43753
75571,33.20616,-94.764
75572,33.23153,-94.13216
75573,33.3423,-94.2373
75574,33.33097,-94.55347
75601,32.50854,-94.72407
75602,32.459,-94.65993
75603,32.39853,-94.7091
75604,32.50964,-94.82784
75605,32.58258,-94.72065
75630,32.87432,-94.5527
75631,32.24926,-94.45456
75633,32.12895,-94.27705
75638,33.02093,-94.73185
75639,32.29033,-94.16944
75640,32.71557,-94.68413
75641,32.37844,-94.57574
75642,32.37152,-94.17658
75643,32.01618,-94.36085
75644,32.7951,-94.99552
75645,32.68749,-94.87407
75647,32.5189,-94.95133
75650,32.51394,-94.55473
75651,32.67158,-94.53603
75652,32.22989,-94.73272
75654,32.08097,-94.8265
75656,33.00551,-94.59071
75657,32.7922,-94.306
75661,32.63754,-94.16153
75662,32.38399,-94.87015
75667,31.98543,-94.84004
75668,32.90448,-94.6836
75669,32.03375,-94.56395
75670,32.57299,-94.42297
75672,32.46883,-94.29489
75681,31.92844,-94.69194
75682,32.25033,-94.93659
75683,32.82301,-94.73701
75684,32.27336,-94.93893
75686,32.96953,-94.95017
75691,32.31327,-94.55067
75692,32.48038,-94.11629
75693,32.53385,-94.85985
75701,32.32329,-95.30091
75702,32.36285,-95.31526
75703,32.23855,-95.32063
75704,32.40753,-95.44131
75705,32.36603,-95.10277
75706,32.46601,-95.30761
75707,32.30356,-95.17689
75708,32.41635,-95.20958
75709,32.31072,-95.39289
75750,32.27445,-95.07492
75751,32.09642,-95.9083
75752,32.24451,-95.80858
75754,32.4258,-95.66521
75755,32.63314,-95.08597
75756,32.30402,-95.60002
75757,32.11464,-95.349
75758,32.27542,-95.50733
75759,32.03594,-95.41876
75760,31.80409,-94.8556
75762,32.21684,-95.4138
75763,32.04188,-95.52213
75764,31.89548,-95.14371
75765,32.64159,-95.23516
75766,31.9462,-95.25704
75770,32.13856,-95.64876
75771,32.5361,-95.43456
75773,32.67876,-95.4459
75778,32.3023,-95.71185
75779,31.86518,-95.48588
75780,31.99106,-95.09184
75783,32.82157,-95.42366
75784,31.8737,-94.97332
75785,31.77995,-95.17381
75788,31.82598,-94.92588
75789,32.10912,-95.09694
75790,32.53227,-95.64262
75791,32.22164,-95.22053
75792,32.47669,-95.10197
75801,31.73458,-95.53316
75803,31.87441,-95.66914
75831,31.46233,-96.01473
75832,31.91903,-95.9946
75833,31.26718,-95.83899
75835,31.2935,-95.49194
75838,31.47744,-96.22823
75839,31.606,-95.5779
75840,31.78236,-96.089
75844,31.51376,-95.43842
75845,31.10075,-95.08953
75846,31.33863,-96.16545
75847,31.35383,-95.14609
75848,31.76525,-96.32993
75849,31.4175,-95.48166
75850,31.13743,-95.91682
75851,31.09325,-95.49714
75852,30.96687,-95.71167
75853,31.93692,-95.81322
75855,31.5622,-95.85025
75856,31.18888,-95.25573
75858,31.39076,-95.12694
75859,31.8816,-96.24023
75860,31.6209,-96.24864
75861,31.85323,-95.89241
75862,30.95984,-95.32384
75901,31.30134,-94.65552
75904,31.33969,-94.82173
75925,31.61115,-95.06597
75926,31.25151,-94.96273
75928,30.67149,-93.71174
75929,31.2455,-94.19467
75930,31.322,-94.03264
75931,31.1108,-94.00384
75932,31.05408,-93.60987
75933,30.5581,-93.81161
75934,30.8959,-94.75068
75935,31.73268,-94.20157
75936,30.95212,-94.57962
75937,31.45872,-94.3765
75938,30.93261,-94.35343
75939,31.01825,-94.79404
75941,31.17991,-94.76368
75942,30.8163,-94.43156
75943,31.65356,-94.88784
75944,31.33734,-94.38859
75946,31.8136,-94.5254
75948,31.30812,-93.77894
75949,31.23143,-94.51943
75951,30.94151,-94.05383
75954,31.92347,-94.05437
75956,30.67771,-93.97824
75959,31.51451,-93.84929
75960,30.91444,-94.86708
75961,31.56112,-94.50001
75962,31.61986,-94.64708
75964,31.62169,-94.74495
75965,31.72385,-94.62609
75966,30.8352,-93.72844
75968,31.25262,-93.95041
75969,31.44688,-94.89891
75972,31.49499,-94.12708
75973,31.71653,-93.93295
75974,31.95671,-94.23869
75975,31.89738,-94.41302
75976,31.52059,-94.92748
75977,31.06121,-93.78207
75978,31.50912,-94.52722
75979,30.7763,-94.4015
75980,31.12666,-94.35255
76001,32.63041,-97.15278
76002,32.62262,-97.09226
76006,32.78493,-97.10019
76008,32.69283,-97.6237
76009,32.41579,-97.20169
76010,32.72283,-97.08035
76011,32.75425,-97.08254
76012,32.75461,-97.13902
76013,32.72033,-97.15646
76014,32.69202,-97.08794
76015,32.69221,-97.13341
76016,32.68906,-97.18871
76017,32.66204,-97.16261
76018,32.66077,-97.09
76020,32.90004,-97.56544
76021,32.85231,-97.13119
76022,32.83064,-97.14522
76023,33.0485,-97.60577
76028,32.52605,-97.30317
76031,32.34848,-97.33114
76033,32.28511,-97.51137
76034,32.89119,-97.14877
76035,32.56288,-97.63361
76036,32.57702,-97.41283
76039,32.85936,-97.08383
76040,32.8147,-97.09677
76041,32.24004,-96.84635
76043,32.20528,-97.79713
76044,32.42759,-97.54354
76048,32.42318,-97.80877
76049,32.46394,-97.70805
76050,32.27536,-97.16601
76051,32.92498,-97.07177
76052,32.98625,-97.37657
76053,32.8171,-97.17951
76054,32.85918,-97.17782
76055,32.16217,-97.15511
76058,32.46692,-97.42395
76059,32.39253,-97.32686
76060,32.64076,-97.21584
76061,32.50396,-97.18842
76063,32.5698,-97.14273
76064,32.30137,-97.03549
76065,32.47047,-96.98898
76066,32.70727,-97.99502
76067,32.80005,-98.12755
76070,32.26241,-97.65425
76071,33.00546,-97.4794
76073,33.10347,-97.72734
76077,32.28213,-97.70548
76078,33.08916,-97.46658
76082,32.9705,-97.71843
76084,32.4322,-97.08947
76085,32.8503,-97.70076
76086,32.75481,-97.78995
76087,32.67075,-97.78314
76088,32.84576,-97.90141
76092,32.95998,-97.14859
76093,32.21723,-97.3949
76102,32.75923,-97.32978
76103,32.75207,-97.26549
76104,32.7287,-97.31777
76105,32.72406,-97.26935
76106,32.81451,-97.35244
76107,32.74171,-97.38196
76108,32.77595,-97.52195
76109,32.701,-97.38392
76110,32.70696,-97.33888
76111,32.77809,-97.29988
76112,32.74812,-97.21845
76114,32.77444,-97.40272
76115,32.67877,-97.33078
76116,32.72172,-97.44637
76117,32.80369,-97.26755
76118,32.79966,-97.20767
76119,32.69064,-97.26215
76120,32.77221,-97.17821
76123,32.61898,-97.39318
76126,32.63383,-97.51234
76127,32.77701,-97.43019
76129,32.7087,-97.36342
76131,32.88334,-97.34692
76132,32.66759,-97.41797
76133,32.65393,-97.37723
76134,32.64274,-97.33353
76135,32.83435,-97.46485
76137,32.8588,-97.29129
76140,32.6206,-97.2701
76148,32.86811,-97.25197
76155,32.82398,-97.04866
76164,32.78114,-97.35461
76177,32.97521,-97.3112
76179,32.9144,-97.43777
76180,32.83996,-97.22499
76182,32.88278,-97.20984
76201,33.22113,-97.14723
76205,33.19028,-97.12812
76207,33.22856,-97.18131
76208,33.20883,-97.05736
76209,33.23157,-97.10988
76210,33.15036,-97.096
76225,33.36444,-97.67311
76226,33.11035,-97.16947
76227,33.27392,-96.99052
76228,33.62099,-98.06028
76230,33.51993,-97.95469
76233,33.53626,-96.90828
76234,33.272,-97.51417
76238,33.48819,-97.35067
76239,33.51986,-97.54515
76240,33.65629,-97.17453
76244,32.93098,-97.28435
76245,33.82798,-96.84912
76247,33.09842,-97.32495
76248,32.92574,-97.22899
76249,33.2828,-97.3041
76250,33.63013,-97.23578
76251,33.62076,-97.68976
76252,33.68568,-97.38545
76253,33.61587,-97.31078
76255,33.82,-97.72916
76258,33.3719,-96.91965
76259,33.20016,-97.30705
76261,33.80065,-97.96329
76262,33.00948,-97.22581
76263,33.46746,-97.45338
76264,33.73974,-96.83528
76265,33.74828,-97.54502
76266,33.36725,-97.21416
76268,33.62759,-96.76741
76270,33.45613,-97.75203
76271,33.46699,-96.90778
76272,33.46625,-97.1289
76273,33.74558,-96.93354
76301,33.90561,-98.48
76302,33.86456,-98.49109
76305,33.99939,-98.39395
76306,33.9451,-98.52395
76308,33.85238,-98.54057
76309,33.89493,-98.54383
76310,33.7986,-98.51092
76311,33.96947,-98.50898
76351,33.56891,-98.67458
76354,34.09738,-98.62144
76357,34.08174,-98.18468
76360,33.96894,-98.96631
76363,33.48303,-99.542
76364,34.11368,-99.01676
76365,33.75812,-98.20162
76366,33.727,-98.78208
76367,33.97433,-98.72274
76370,33.53169,-98.88815
76371,33.48662,-99.64033
76372,33.25294,-98.919
76373,34.13069,-99.11397
76374,33.35974,-98.73818
76377,34.01483,-98.23963
76379,33.67016,-98.47541
76380,33.61862,-99.2424
76384,34.16774,-99.32555
76388,33.32169,-99.63092
76389,33.51579,-98.45822
76401,32.28259,-98.19882
76402,32.2164,-98.21729
76424,32.80509,-98.89861
76426,33.16683,-97.84266
76427,33.15546,-98.37755
76429,32.74099,-98.67419
76430,32.785,-99.2474
76431,33.31748,-97.85664
76432,31.84218,-98.79696
76433,32.3152,-98.01972
76435,32.25176,-98.85668
76436,31.86715,-98.22143
76437,32.39591,-99.02367
76442,31.89183,-98.61491
76443,32.13333,-99.21055
76444,32.11471,-98.56571
76445,32.2995,-98.55077
76446,32.07521,-98.34946
76448,32.40016,-98.80082
76449,32.91566,-98.32279
76450,33.0626,-98.62573
76452,31.75506,-98.3541
76453,32.5856,-98.34162
76454,32.20812,-98.729
76455,31.80575,-98.38355
76457,31.952,-98.02941
76458,33.21795,-98.1877
76459,33.27406,-98.38756
76460,33.30966,-98.49838
76462,32.52348,-98.02749
76463,32.45666,-98.41488
76464,32.5559,-99.16497
76466,32.43333,-98.73745
76469,32.34527,-99.19388
76470,32.50228,-98.66151
76471,32.11606,-98.98478
76472,32.60118,-98.17055
76474,31.97297,-98.79289
76475,32.65904,-98.49888
76476,32.36651,-97.91946
76481,32.9956,-98.74309
76483,33.18879,-99.27221
76484,32.75833,-98.28241
76486,33.02291,-98.0622
76487,32.97949,-97.88221
76490,32.94544,-98.01889
76491,33.03487,-99.05052
76501,31.07505,-97.25433
76502,31.09622,-97.41034
76504,31.13807,-97.37258
76508,31.07746,-97.36411
76511,30.80164,-97.42497
76513,31.05136,-97.49967
76518,30.84974,-97.15418
76519,30.99426,-97.04726
76520,30.87611,-96.90748
76522,31.21606,-97.97338
76523,30.78956,-97.29127
76524,31.26693,-97.20313
76525,31.48559,-98.14598
76527,30.84419,-97.80605
76528,31.42046,-97.76154
76530,30.71583,-97.42174
76531,31.6858,-98.18813
76534,30.88262,-97.37359
76537,30.81749,-97.60543
76538,31.64149,-97.89017
76539,31.08867,-98.00991
76541,31.11409,-97.72892
76542,31.0106,-97.74609
76543,31.13896,-97.64326
76544,31.14311,-97.76164
76548,31.05081,-97.64587
76549,31.01317,-97.82996
76550,31.08754,-98.22873
76554,30.97575,-97.3678
76556,30.70285,-96.82583
76557,31.29554,-97.39494
76559,31.07639,-97.60489
76561,31.41292,-97.53715
76565,31.64369,-98.351
76566,31.51053,-97.99616
76567,30.65,-97.00757
76569,30.94373,-97.22878
76570,31.08166,-96.93866
